CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO DETALHE DO LOTE,008,008,9(01),3
NÚMERO DO REGISTRO,Nº SEQUENCIAL REGISTRO NO LOTE,009,013,9(05),NOTA 9
CÓDIGO DO SEGMENTO,CÓDIGO SEGMENTO REG. DETALHE,014,014,X(01),B
BRANCOS,COMPLEMENTO DE REGISTRO,015,032,X(18),BRANCOS
ENDEREÇO,NOME DA RUA OU AV OU PÇA OU ETC,033,062,X(30),
NÚMERO,NÚMERO DO LOCAL,063,067,9(05),
COMPLEMENTO.,CASA OU APTO OU ETC,068,082,X(15),
BAIRRO,BAIRRO,083,097,X(15),
CIDADE,NOME DA CIDADE,098,117,X(20),
CEP,CEP,118,125,9(08),
ESTADO,SIGLA DO ESTADO,126,127,X(02),
TELEFONE,DDD E NÚMERO DO TELEFONE,128,138,X(11),
ACRÉSCIMOS,VALOR DO ACRÉSCIMO,139,152,9(12)V(02),
HONORÁRIOS,VALOR DO HONORÁRIO,153,166,9(12)V(02),
BRANCOS,COMPLEMENTO DE REGISTRO,167,240,X(74),BRANCOS